Course_Code,Course_Title,2021_Points_R1,2021_Points_R2,2020_Points_R1,2020_Points_R2,2019_Points_R1,2019_Points_R2
CT110,Computing in Information Technology,,,210,,,
CT116,Information Technology,,,219,,,
CT125,Computing and IT                                  ,242  ,242,220,,280.0,235
CT325,Business                                          ,253  ,253,338,,,
CW018,Business (options)                                ,307  ,,298,248,349.0,327
CW028,Early Childhood Education and Care                ,260  ,,252,,308.0,252
CW037,Business (options),,,195,,,
CW038,Art (portfolio)                                   ,#700 ,,700,,700.0,#700
CW047,Visual Communications and Design,,,214,181,,
CW057,Art (portfolio),,,700,,,
CW058,Tourism and Event Management                      ,292  ,,298,,262.0,252
CW068,Applied Social Studies - Professional Social Care (Wexford),250  ,,245,,280.0,251
CW077,Tourism and Event Management,,,217,,,
CW078,Sustainable Farm Management and Agribusiness      ,270  ,,269,,320.0,266
CW088,Visual Communications and Design                  ,270  ,,274,,345.0,309
CW106,Physiology and Health Science,,,451,,,
CW107,Analytical Science,,,277,,,
CW108,Science (options),266  ,,261,,326.0,261
CW117,Biosciences,,,205,,,
CW126,Science - Applied Biology or Applied Chemistry,,,191,,,
CW128,Brewing and Distilling                            ,307  ,,263,,298.0,271
CW138,Sport and Exercise Science                        ,430  ,423,423,,,
CW148,Strength and Conditioning                         ,388  ,,379,,,
CW178,Sport Science (options),,,,,424.0,399
CW188,Sport Rehabilitation and Athletic Therapy,451  ,,451,448,473.0,454
CW208,Computer Games Development                        ,272  ,,279,,338.0,281
CW237,Computing in Interactive Digital Art and Design,,,212,,,
CW238,Software Development                              ,295  ,,297,,343.0,300
CW248,Information Technology Management,293  ,,285,,357.0,307
CW258,Cybercrime and IT Security                        ,292  ,,293,,328.0,300
CW268,Computing in Interactive Digital Art and Design   ,291  ,,287,,321.0,274
CW407,Architectural Technology,,,188,,,
CW417,Construction Management with Building Services,,,220,,,
CW427,Civil Engineering,,,199,,,
CW438,Construction (options),260  ,251,272,,308.0,271
CW468,Architectural Technology                          ,291  ,283,262,,290.0,252
CW478,Civil Engineering                                 ,465  ,,433,,383.0,348
CW507,Aircraft Systems,,,293,,,
CW517,Mechanical Engineering,,,276,,,
CW527,Electronic Engineering,,,227,,,
CW547,TV and Media Production,,,301,,,
CW548,Mechanical Engineering,330  ,328,321,,351.0,310
CW558,Electronic Systems                                ,280  ,,280,,338.0,279
CW568,Aerospace Engineering                             ,371  ,359,380,,422.0,366
CW578,TV and Media Production                           ,318  ,,325,,361.0,327
CW706,Legal Studies,,,163,,,
CW708,Law - LLB,292  ,,302,,328.0,298
CW717,Professional Social Care Practice,,,288,,,
CW728,Product Design Innovation                         ,246  ,,252,,355.0,286
CW748,Early Childhood Education and Care                ,290  ,,270,,338.0,265
CW758,Professional Social Care Practice                 ,360  ,358,336,,319.0,290
CW808,Media and Public Relations,247  ,,251,,307.0,248
CW837,Digital Marketing with Analytics,,,200,,,
CW848,Digital Marketing with Analytics                  ,269  ,,254,,307.0,279
